name,breed_group,size,color1,color2,coat_len,allergy_friendly,kid_friendly,energy_level,playfulness,shedding,exercise,bark_tendency,trainability,friendliness,description
affenpinscher,Companion Dogs,small,black,silver,medium,false,false,4,4,1,3,2,3,3,"The Affenpinscher, also known as the ‘Monkey Dog’, may be small, but he sure is feisty, full of spunk, and flowing with energy. This mustached little critter descended from the numerous small terriers that populated European stables and shops in the 1700s, ridding them of rats and mice. Sturdy, smart, and alert, the Affenpinscher is an excellent watchdog who fears nothing. He's not normally loud, but he is always excitable. This breed combines clownlike charm with a bold nature, and his creative personality that never ceases to entertain others makes him a great pick for a pet!"
australian-shepherd,Herding Dogs,medium,black,orange,medium,false,true,5,5,3,5,4,5,5,"Despite what one would expect from its name, the Australian Shepherd originated in the western United States around the time of the Gold Rush in the 1840s. Originally bred as herding dogs to herd livestock, they evolved into a working dog breed because they are happiest when they have a job to do. Today, many people know the breed by its nickname the Aussie as well as its wonderful blend of colors. The Aussie can be a wonderful family companion if his intelligence and energy are channeled into dog sports or activities!"
basenji,Hound Dogs,medium-small,fawn,white,short,true,true,5,2,1,5,1,1,4,"Out of Africa, the Basenji dog breed was originally found in the Democratic Republic of the Congo as well as Egypt. As a type of hound, he uses both scent and sight to hunt, and was originally used to push small game into a hunter’s nets and to control rodent populations in villages. Clever and endearing, he’s a good companion for the person or family who can stay a step ahead of him. Basenji are also allergy friendly, don’t shed, and aren’t very noisy!"
beagle,Hound Dogs,medium-small,fawn,black,short,false,true,4,5,3,4,5,1,5,"The Beagle originally was bred as a scenthound to track small game, mostly rabbits and hare. He is still used for this purpose in many countries, including the United States. Small, compact, and hardy, Beagles are active companions for kids and adults alike. Canines in this dog breed are fun loving and cheerful, but being hounds, they can be slightly stubborn and require patient, unique training techniques. Their noses guide them through life, and they’re at their happiest when following an interesting scent!"
bouvier,Herding Dogs,medium-large,black,blonde,long,true,true,4,4,1,4,4,5,2,"The Bouvier des Flandres was originally bred to be a versatile farm dog. They helped farmers in a multitude of tasks, including herding livestock such as cattle, pulling massive carts, and guarding territory. The hard-working and intelligent Bouvier is still an ideal farm dog, and they are even capable of service, assistance, and law enforcement. On top of all of these roles, the family companion is the role that seems to suit him best. The Bouvier might not be very well known, but you have as much love as you put in!"
boxer,Working Dogs,medium,fawn,brindle,short,false,true,5,5,4,5,3,3,4,"Boxer dogs were originally bred to be medium-sized guard dogs. Although they currently are a part of the AKC’s Working Group, Boxers can find homes as loving companions. That being said, they still retain their high energy levels and need plenty of exercise. They adore their families and will also appreciate consistent training that doesn’t rely on harsh commands. Square-jawed and muscular, this breed is the George Clooney of the dog world: handsome with a sense of humor and an underlying sweetness!"
bulldog-english,Companion Dogs,medium-small,fawn,white,short,false,true,2,4,3,3,4,3,2,"Bulldogs are never mistaken for other breeds of dogs. They have broad shoulders and chests, with thick, sturdy limbs. They originally were used to drive cattle to market and to compete in a bloody sport called bull baiting. Today, they’re gentle companions who love kids. A brief walk and a nap on the sofa is just this dog breed‘s speed!"
chihuahua,Companion Dogs,small,tan,black,short,false,true,3,4,2,1,3,4,2,"The charmful Chihuahua dog breed is known for their small size, big personality, and variety in coat types and colors. Chihuahuas are 100% dog, fully capable of competing in dog sports such as agility and obedience, and experts consider them as top ten watch dogs recommended. These dogs love nothing more than being with their people and require a minimum of grooming and exercise!"
chow,Working Dogs,medium-large,fawn,orange,medium,false,false,2,1,1,2,1,2,1,"The Chow-Chow, or Chow, is a dog breed originally from northern China, where it is referred to as Songshi-Quan, which means puffy-lion dog. This distinctive-looking dog breed has a proud, independent spirit that many describe as catlike. They can be aloof, and if you’re looking for a cuddle buddy, this probably isn’t the best breed for you. But for the right person, he’s a fiercely loyal companion!"
collie-border,Herding Dogs,medium,brown,white,medium,false,true,5,5,3,5,2,5,3,"The Border Collie was developed to control and gather sheep in the hilly border country between England and Scotland. The breed is known for his intense stare, which he uses to his advantage to control his flock. They are dogs with unlimited energy, stamina, and working drive, all of which make him a premier herding dog. The highly trainable and intelligent Border Collie also excels in various canine sports, including obedience, flyball, agility, tracking, and flying disc competitions!"
germanshepherd,Herding Dogs,large,black,tan,medium,false,true,5,5,5,5,4,5,2,"The German Shepherd Dog is undeniably one of the most popular dog breeds in the United States, and for good reason. They’re intelligent and capable working dogs, and their devotion and courage are unmatched. German Shepherds are amazingly versatile, excelling at most anything they’re trained to do, which includes guide and assistance work for the handicapped, police and military service, herding, search and rescue, drug detection, competitive obedience, and being a faithful companion!"
greyhound-italian,Hound Dogs,medium-small,grey,fawn,short,false,true,4,4,2,4,3,3,4,"The Italian Greyhound dog breed was a favorite companion of noblewomen in the Middle Ages, especially in Italy. But this small hound was more than a lap dog, having the speed, endurance, and determination to hunt small game. These days, he’s a family dog whose beauty and athleticism is admired in the show ring and in obedience, agility, and rally competitions. It is recommended that you get two of these so that they can keep each other company!"
husky,Working Dogs,medium,grey,white,medium,false,true,5,5,4,5,5,2,5,"Originally from Siberia, the Siberian Husky is a beautiful dog breed with a thick coat that comes in a multitude of colors and markings. Their blue or multi-colored eyes and striking facial masks only add to the appeal of this stunning breed. It is easy to see why many are drawn to the Siberian’s wolf-like looks, but be aware that this athletic, intelligent dog can be independent and challenging for first-time dog owners. Huskies also put the H in Houdini and need a fenced yard that is sunk in the ground to prevent escapes, so beware!"
newfoundland,Working Dogs,large,brown,tan,long,false,true,3,4,5,3,4,5,4,"Newfoundland is a large, strong dog breed from Newfoundland (Shocker, I know). They were originally used as a working dog to pull nets for fishermen and haul wood from the forest. Newfoundland is a capable and hardworking dog, well suited to work on land or water. He is a strong swimmer and equally strong pack horse. Sweet-natured and responsive, he makes a wonderful family companion as well!"
pitbull,Terrier Dogs,medium,tan,black,short,false,false,4,5,4,4,3,4,1,"The American Pit Bull Terrier is a companion and family dog breed. Originally bred to bait bulls, the breed evolved into all-around farm dogs. Their tenacity, gameness, and courage make them popular competitors in the sports of weight pulling, agility, and obedience competition. Although this dog has trouble getting along with other breeds, this breed is full of energy and can be very playful at times!"
pug,Companion Dogs,medium-small,fawn,black,short,false,true,3,5,5,3,2,3,4,"Pugs often are described as a big dog in a small space. The Pug, often called the Pug Dog, is an ancient Chinese breed that can be traced back to 2,000 years ago. These sturdy, compact dogs are a part of the American Kennel Club’s Toy group, and are known as the clowns of the canine world because they have a great sense of humor and like to show off. Originally bred to be a lap dog, the Pug thrives on human companionship!"
retriever-golden,Companion Dogs,medium,blonde,golden,medium,false,true,5,5,5,5,3,5,4,"The Golden Retriever is one of the most popular dog breeds in the United States. The breed’s friendly, tolerant attitude makes them fabulous family pets, and their intelligence makes them highly capable working dogs. Golden Retrievers excel at retrieving game for hunters, tracking, sniffing out contraband for law enforcement, and as therapy and assistance dogs. They’re also natural athletes and do well in dog sports such as agility and competitive obedience. These dogs are fairly easy to train and get along in just about any home or family!"
rottweiler,Working Dogs,medium,black,orange,short,false,false,4,5,4,4,4,4,2,"Rottweilers originally were bred to drive cattle to market. Later, they were used to pull carts for butchers and were among the earliest police dogs to serve in the military. Most important, they are popular family guardians and friends. Rottweilers are recommended to have big, spacious crates to give them a place to rest and relax. You should also pick up this dog brush and massager for your short-haired pup!"
